trial,file,d_mm,fs,N_raw,t_end_raw,t_start_A,t_start_B,t_start,B_preswing_mm,T,N,bin_Hz,halfbin_Hz,d_track_mm,A_mm,eta_leak,xi_leak,method,f1,f2,f1_rect,f2_rect,f1_hann,f2_hann,f1_hamming,f2_hamming,f1_blackman,f2_blackman,f1_winspread,f2_winspread,f1A_rect,f2A_rect,f1A_hann,f2A_hann,f1A_hamming,f2A_hamming,f1A_blackman,f2A_blackman,f1_A,f2_A,rA,f1_B,f2_B,rB,ratio_pred,T_beat_fft,T_beat_env,dT_beat_env,n_beats,tau_s,env_minmax
1,24.5_1.txt,24.5,119.38523465373709,1306,10.931,0.31,0.084,0.31,2.7799999999999994,10.621078927203097,1269,0.09415239326004474,0.04707619663002237,27.11846336214867,2.804056601958317,0.0286134482616916,0.03381317344508747,eta/xi,6.419406301627559,8.540313099876714,6.419406301627559,8.540313099876714,6.419476067246483,8.540302452545498,6.419449180474011,8.540309330668581,6.4194870060408284,8.540298505348625,4.0352206634786114e-05,7.297264044581198e-06,6.419439545011424,8.54020849437364,6.419437644466647,8.540319183634676,6.419437455401834,8.540266010768542,6.41943681386028,8.540296041789569,6.419437644466647,8.540319183634676,0.4813090545224997,6.41951670950622,8.540281866568815,0.5274643316824766,0.5649917974845377,0.47149643766784893,0.4719122633488464,0.0004117584355112246,21,26.195980875246807,0.32814125741606365
2,24.5_2.txt,24.5,119.99595632834614,1188,9.892,0.258,0.292,0.292,nan,9.600323504633543,1153,0.10416315653502255,0.05208157826751127,27.49357245481377,2.761715582233412,0.021815757436476832,0.02289376265648667,eta/xi,6.421293219437205,7.839840269879861,6.421293219437205,7.839840269879861,6.421397349259975,7.839894723174277,6.4213647678478285,7.839876563488542,6.421409393647153,7.839908189641549,5.8087104974013926e-05,3.395988084387014e-05,6.420620756916791,7.840768860341238,6.421472733411461,7.83980600612326,6.421202348470576,7.840121968549789,6.421489092824438,7.839815797566284,6.421472733411461,7.83980600612326,0.6558923481210531,6.4213219570736,7.839983606628014,0.6563846390748285,0.6708579563598918,0.7049466562902872,0.7008294768416093,0.0032826401795207315,13,45.25568406042755,0.21292365778239827
3,24.5_3.txt,24.5,119.99595632834614,1188,9.892,0.258,0.283,0.283,nan,9.608657118786871,1154,0.10407281554930266,0.05203640777465133,27.493553377108302,2.8044783986240027,0.02017491652468311,0.020543095627586543,eta/xi,6.419514099267027,7.942010611956036,6.419514099267027,7.942010611956036,6.419516465950591,7.9420546383968045,6.419514042912039,7.942040422339441,6.419519220611115,7.9420509439199,2.588849538298632e-06,2.2013220384309307e-05,6.418820039293638,7.943083726620489,6.419555540516313,7.9421177130118465,6.419321219810939,7.942431756050381,6.419566228859653,7.94212994578662,6.419555540516313,7.9421177130118465,0.6577736731337037,6.419477353503322,7.941991292088711,0.6566703768637538,0.6533462278929072,0.6568159543655151,0.6542184739439172,0.0029751496388255656,14,45.08901287582616,0.21890513846818244
4,24.5_4.txt,24.5,120.00406793450627,1181,9.833,0.308,0.342,0.342,nan,9.49134491525422,1140,0.10535914656234106,0.05267957328117053,27.497121654112863,2.766026107815459,0.004975724108070568,0.006036789678518976,eta/xi,6.416411537105998,7.9879878034034935,6.416411537105998,7.9879878034034935,6.416575635071889,7.988096764147925,6.4165243643877865,7.988061954404665,6.416581394666831,7.988091637505628,8.492878041632679e-05,5.4480372215781614e-05,6.414993786532159,7.991045059056174,6.416638923443418,7.987977782726808,6.416131833973275,7.988915611646068,6.41662972775181,7.9879601083364085,6.416638923443418,7.987977782726808,0.6566416474413777,6.416512323706794,7.988215898037364,0.6572473277724338,0.6452226966024379,0.6363038316657186,0.6283733063310059,0.003066326931538467,15,31.080175268496216,0.21713221405624178
5,24.5_5.txt,24.5,120.0,1171,9.75,0.333,0.367,0.367,nan,9.383333333333361,1127,0.10657193605683805,0.05328596802841903,27.49812220090785,2.7927819097221964,0.014172261925500407,0.01620439185998214,eta/xi,6.420021950351175,7.890372030245143,6.420021950351175,7.890372030245143,6.420024883514742,7.890567131869943,6.420021558650929,7.8905059613813044,6.420019425193067,7.890563745052812,2.729160837322553e-06,9.755081239992691e-05,6.418693092162522,7.893377281978939,6.420073728207142,7.890562327619756,6.419648475067024,7.89139967947222,6.420069610740513,7.89058767022653,6.420073728207142,7.890562327619756,0.6573069788952399,6.4199759479782905,7.890571992442601,0.6580378882803515,0.6620306015353602,0.68011014089387,0.6691369047619069,0.004243334095345736,14,25.74652990412965,0.2109271535557599
1,26.5_1.txt,26.5,120.0,1198,9.975,0.308,0.342,0.342,nan,9.633333333333363,1157,0.1038062283737021,0.05190311418685105,29.49859186224752,2.7843187152777036,0.004984846973053897,0.006267114746522102,eta/xi,6.425508812448881,7.460476292880371,6.425508812448881,7.460476292880371,6.425675980523362,7.460635182377305,6.42562356803878,7.460585190252765,6.42567316719291,7.460630201107916,8.358403724040286e-05,7.944474846688365e-05,6.423062516828532,7.464482527054018,6.425725874929959,7.460529899351446,6.424900658071371,7.461756886022487,6.425689107562379,7.46058858080593,6.425725874929959,7.460529899351446,0.7391258864601281,6.4256260656937725,7.460740557256936,0.7387236954192921,0.7417916455985588,0.9662139331982569,0.9513636363636392,0.005933859855646361,10,30.44022190743808,0.15510326602037444
2,26.5_2.txt,26.5,120.00410972978527,1169,9.733,0.342,0.375,0.375,nan,9.358012842465785,1124,0.10686029361512454,0.05343014680756227,29.4974224409167,2.8010765445741423,0.01177513157691798,0.011184498603455162,eta/xi,6.417539520165063,7.475415489615783,6.417539520165063,7.475415489615783,6.417738243693987,7.47562435382139,6.417676502527084,7.475559733416459,6.41773859716244,7.475600615959862,9.953849868882259e-05,0.00010443210280319803,6.41492347827876,7.479571901229702,6.417803479964105,7.475567374259741,6.416924909384232,7.476783731435797,6.417771758291345,7.475614536858284,6.417803479964105,7.475567374259741,0.737294153070529,6.417672904047927,7.475681414733294,0.7393668085025449,0.7369982071766952,0.9452904015952158,0.9282257861145734,0.007100657359319549,10,28.208535633606896,0.15428114757920042
3,26.5_3.txt,26.5,120.0041203131438,1166,9.708,0.275,0.308,0.308,nan,9.399677253218881,1129,0.10638663148328355,0.053193315741641774,29.48959019989327,2.787055530340959,0.013693955336772309,0.0142123026371637,eta/xi,6.422660710748663,7.500830218891052,6.422660710748663,7.500830218891052,6.422737235141092,7.501038544072392,6.4227123182105625,7.500973603836503,6.422739935219265,7.501050643870692,3.9612235300801046e-05,0.00011021248982023835,6.420779090825786,7.503729791906683,6.422782901314778,7.500994255574556,6.422147981204403,7.501868785996446,6.422771881449236,7.501051512564472,6.422782901314778,7.500994255574556,0.7387612507679042,6.422691769645919,7.501082660943376,0.7389867656522637,0.7331811482211973,0.9274979420656505,0.9173169879047987,0.004989295707939257,10,42.02193098987796,0.15876835555142949
4,26.5_4.txt,26.5,120.0,1180,9.825,0.325,0.35,0.35,nan,9.47500000000003,1138,0.105540897097625,0.0527704485488125,29.49461169244289,2.8080781481481383,0.007975505978707569,0.009959304246183647,eta/xi,6.414453724921255,7.463594202344465,6.414453724921255,7.463594202344465,6.414399411438509,7.463664258251882,6.414414267867917,7.46364080916358,6.4143855676588055,7.4636775626770335,3.407863122495414e-05,4.1680166284141507e-05,6.412067056197476,7.468022922641795,6.414510306553921,7.4635583259168135,6.413758211251588,7.464923167189538,6.414485691893914,7.4636402858818265,6.414510306553921,7.4635583259168135,0.7377565014461742,6.4142884226361,7.4637700709213775,0.7392773744006199,0.7386238306880704,0.9531612034034722,0.9417424242424272,0.007495322147614636,10,29.20680851025183,0.15562472257462556
5,26.5_5.txt,26.5,119.99587288485347,1164,9.692,0.275,0.317,0.317,nan,9.375322441960474,1126,0.10666299811986946,0.05333149905993473,29.497563574839322,2.800074020851186,0.030657662018586756,0.031234218761612014,eta/xi,6.422748361535323,7.4481960320819525,6.422748361535323,7.4481960320819525,6.422767577890907,7.448377969420431,6.422759000192389,7.448321214693732,6.4227610251882945,7.4483774067690565,9.60817779205314e-06,9.096866923918867e-05,6.42175111752235,7.449521856687809,6.422779289949935,7.448332774691136,6.422443853139937,7.4487289332943,6.422748556108709,7.448362962358449,6.422779289949935,7.448332774691136,0.7384094486050398,6.42275595344089,7.448423295013759,0.7402480376643226,0.743600403975816,0.9751838428448871,0.9671039683160089,0.007827085609306889,9,39.50699048409407,0.14769458305269215
1,28.5_1.txt,28.5,119.99588350313881,1167,9.717,0.283,0.325,0.325,nan,9.391988850771861,1128,0.10647372094333535,0.053236860471667674,31.495089499490824,2.8146355748523,0.023555729095330595,0.026245242013006567,eta/xi,6.419256013292665,7.145791710634956,6.419256013292665,7.145791710634956,6.4193917023662195,7.145796048037051,6.419348273818106,7.145792306628046,6.41939759689242,7.145787620362629,7.079179987767859e-05,4.213837210720328e-06,6.415858792910798,7.151011182136832,6.419563269543355,7.145471182286659,6.418431878059093,7.147127876450321,6.419477452313543,7.145626089364756,6.419563269543355,7.145471182286659,0.8019121574196126,6.4192196430597495,7.146122673751839,0.8028405659448553,0.8069909924331848,1.3763948607866843,1.3280217471208018,0.019088533894891856,7,22.216914366560236,0.10893204676181
2,28.5_2.txt,28.5,120.0,1189,9.9,0.333,0.367,0.367,nan,9.533333333333363,1145,0.10489510489510456,0.05244755244755228,31.49526944632703,2.7989337268517875,0.0066980709809002425,0.010856793984929676,eta/xi,6.412910363605697,7.145643038717016,6.412910363605697,7.145643038717016,6.4130382934114545,7.145791488951111,6.412997150476359,7.1457444380708335,6.413037226643251,7.145795194936954,6.39649028788547e-05,7.607810996912434e-05,6.409187716750515,7.15120426485285,6.413246781657393,7.145559258213709,6.411985266295997,7.147319730982769,6.413156343372555,7.145731425955553,6.413246781657393,7.145559258213709,0.8047618508339635,6.412830585864003,7.146023438443388,0.8026424590301334,0.8054298201699239,1.364754205683644,1.3343253968254007,0.009083387364299199,7,31.073383889058004,0.10482223125101127
3,28.5_3.txt,28.5,120.0,1165,9.7,0.325,0.358,0.358,nan,9.341666666666695,1122,0.10704727921498629,0.053523639607493144,31.49760310320113,2.7963123032407946,0.008359664342528814,0.009879375291860849,eta/xi,6.422080844971271,7.171113682256173,6.422080844971271,7.171113682256173,6.422360275519696,7.171324037588549,6.422274055377289,7.171258701535729,6.422368573163337,7.171324587223013,0.00014386409603295292,0.00010545248341964353,6.4182170067010755,7.1764383352222,6.42252913859079,7.170957100667522,6.421184512756551,7.17267585592117,6.422428041007687,7.17111606619411,6.42252913859079,7.170957100667522,0.803070618797514,6.422192164549349,7.171689490521333,0.8025155666518641,0.8020073015522515,1.3350549538319367,1.3091269841269881,0.009581162734672771,7,30.290001007626746,0.09953372201261104
4,28.5_4.txt,28.5,120.0,1177,9.8,0.308,0.342,0.342,nan,9.458333333333362,1136,0.1057268722466957,0.05286343612334785,31.494859802736613,2.8068357638888317,0.012298333674820888,0.016083576856632458,eta/xi,6.417958472568004,7.165651909595627,6.417958472568004,7.165651909595627,6.41798319042096,7.165685679557044,6.4179732689642925,7.165673796337205,6.417977872481414,7.1656728278874375,1.2358926478217569e-05,1.6884980708731234e-05,6.41475877559385,7.170483532171512,6.418140628103728,7.165434781229106,6.417067187023793,7.167057219693198,6.4180366292587445,7.165557520921616,6.418140628103728,7.165434781229106,0.8048593754651252,6.417826504462677,7.165934992435061,0.801951790690254,0.8021995068020327,1.337446539554226,1.3027777777777816,0.009832612145855138,7,33.18459314101848,0.11579790709510401
5,28.5_5.txt,28.5,119.9959460829026,1185,9.867,0.342,0.375,0.375,nan,9.491987331081111,1140,0.10535201587612136,0.05267600793806068,31.492131521015708,2.8229440169857387,0.038323016576644546,0.041926873755313586,eta/xi,6.421102405510919,7.125592217972428,6.421102405510919,7.125592217972428,6.421278389048744,7.125664900423773,6.421223819992617,7.125640551073421,6.421275594543495,7.125653801596716,8.799176891249871e-05,3.634122567275355e-05,6.419146500076826,7.128519189362296,6.421439938615275,7.125430695748812,6.420721538653769,7.126383308343936,6.421380719259698,7.125517201788083,6.421439938615275,7.125430695748812,0.8019272442170909,6.421116263643433,7.125899891735188,0.8017307873925501,0.8120397006450902,1.4194669423337296,1.3994520390926686,0.015410176108297598,6,33.19660180145829,0.11197958295328887
1,31_1.txt,31.0,119.99665747472214,1437,11.967,0.333,0.375,0.375,nan,11.591989554317516,1392,0.08626646834990834,0.04313323417495417,33.99176521971915,2.818048140233296,0.017164138441325083,0.019254270585923716,eta/xi,6.416021485155336,6.940401617662846,6.416021485155336,6.940401617662846,6.416202135253351,6.9405413756065455,6.4161451793859205,6.940498252525076,6.416206474967985,6.940540239285342,9.249490632434743e-05,6.987897184984604e-05,6.41264954534473,6.9445025700200045,6.416497883598822,6.940197558548168,6.415260958593953,6.941595094346986,6.416384703629126,6.940388559529648,6.416497883598822,6.940197558548168,0.8600619277088501,6.415908784185648,6.940881048816501,0.8619238058897677,0.8545990672968665,1.9070135155924866,1.8863620672502932,0.02041124724243584,6,29.84835474081908,0.07074047984994192
